id	protected_class	xml_blob
8074233642	0	<record><id>8074233642</id><protected_class>0</protected_class></record>
9205365516	0	<record><id>9205365516</id><protected_class>0</protected_class></record>
9542498804	0	<record><id>9542498804</id><protected_class>0</protected_class></record>
8159595075	0	<record><id>8159595075</id><protected_class>0</protected_class></record>
6474422187	1	<record><id>6474422187</id><protected_class>1</protected_class></record>
4227016454	0	<record><id>4227016454</id><protected_class>0</protected_class></record>
8324378348	0	<record><id>8324378348</id><protected_class>0</protected_class></record>
3447865471	1	<record><id>3447865471</id><protected_class>1</protected_class></record>
8537340138	0	<record><id>8537340138</id><protected_class>0</protected_class></record>
6833108828	0	<record><id>6833108828</id><protected_class>0</protected_class></record>
6374832589	1	<record><id>6374832589</id><protected_class>1</protected_class></record>
4461653721	0	<record><id>4461653721</id><protected_class>0</protected_class></record>
6396654535	0	<record><id>6396654535</id><protected_class>0</protected_class></record>
7334964082	1	<record><id>7334964082</id><protected_class>1</protected_class></record>
4111843908	0	<record><id>4111843908</id><protected_class>0</protected_class></record>
1488061088	0	<record><id>1488061088</id><protected_class>0</protected_class></record>
2525391579	0	<record><id>2525391579</id><protected_class>0</protected_class></record>
7322757191	1	<record><id>7322757191</id><protected_class>1</protected_class></record>
8836579688	0	<record><id>8836579688</id><protected_class>0</protected_class></record>
3984836972	0	<record><id>3984836972</id><protected_class>0</protected_class></record>
3157067857	0	<record><id>3157067857</id><protected_class>0</protected_class></record>
3213776836	0	<record><id>3213776836</id><protected_class>0</protected_class></record>
7086081483	0	<record><id>7086081483</id><protected_class>0</protected_class></record>
3242891851	0	<record><id>3242891851</id><protected_class>0</protected_class></record>
9860765127	0	<record><id>9860765127</id><protected_class>0</protected_class></record>
8686730786	0	<record><id>8686730786</id><protected_class>0</protected_class></record>
9014036953	0	<record><id>9014036953</id><protected_class>0</protected_class></record>
7917735285	0	<record><id>7917735285</id><protected_class>0</protected_class></record>
1670497148	0	<record><id>1670497148</id><protected_class>0</protected_class></record>
3601284085	0	<record><id>3601284085</id><protected_class>0</protected_class></record>
1500779032	0	<record><id>1500779032</id><protected_class>0</protected_class></record>
6823183930	0	<record><id>6823183930</id><protected_class>0</protected_class></record>
2837240447	0	<record><id>2837240447</id><protected_class>0</protected_class></record>
8564705905	0	<record><id>8564705905</id><protected_class>0</protected_class></record>
7169923454	0	<record><id>7169923454</id><protected_class>0</protected_class></record>
2489738623	0	<record><id>2489738623</id><protected_class>0</protected_class></record>
6401230507	0	<record><id>6401230507</id><protected_class>0</protected_class></record>
8138820093	0	<record><id>8138820093</id><protected_class>0</protected_class></record>
9699616529	0	<record><id>9699616529</id><protected_class>0</protected_class></record>
6486700638	0	<record><id>6486700638</id><protected_class>0</protected_class></record>
6589636093	0	<record><id>6589636093</id><protected_class>0</protected_class></record>
5260635974	0	<record><id>5260635974</id><protected_class>0</protected_class></record>
1193058721	0	<record><id>1193058721</id><protected_class>0</protected_class></record>
1502151367	1	<record><id>1502151367</id><protected_class>1</protected_class></record>
4255376798	1	<record><id>4255376798</id><protected_class>1</protected_class></record>
2295200507	0	<record><id>2295200507</id><protected_class>0</protected_class></record>
1700501111	0	<record><id>1700501111</id><protected_class>0</protected_class></record>
2962455327	0	<record><id>2962455327</id><protected_class>0</protected_class></record>
5040467226	0	<record><id>5040467226</id><protected_class>0</protected_class></record>
4654674215	1	<record><id>4654674215</id><protected_class>1</protected_class></record>
9628385996	0	<record><id>9628385996</id><protected_class>0</protected_class></record>
7365686005	1	<record><id>7365686005</id><protected_class>1</protected_class></record>
2195396370	1	<record><id>2195396370</id><protected_class>1</protected_class></record>
3371351038	0	<record><id>3371351038</id><protected_class>0</protected_class></record>
7185902026	0	<record><id>7185902026</id><protected_class>0</protected_class></record>
2197437655	0	<record><id>2197437655</id><protected_class>0</protected_class></record>
9488091355	0	<record><id>9488091355</id><protected_class>0</protected_class></record>
7377735563	0	<record><id>7377735563</id><protected_class>0</protected_class></record>
9289583865	0	<record><id>9289583865</id><protected_class>0</protected_class></record>
8626360520	0	<record><id>8626360520</id><protected_class>0</protected_class></record>
4702402570	0	<record><id>4702402570</id><protected_class>0</protected_class></record>
3553189763	0	<record><id>3553189763</id><protected_class>0</protected_class></record>
6350132693	0	<record><id>6350132693</id><protected_class>0</protected_class></record>
9322606582	0	<record><id>9322606582</id><protected_class>0</protected_class></record>
3129248352	1	<record><id>3129248352</id><protected_class>1</protected_class></record>
4419635589	0	<record><id>4419635589</id><protected_class>0</protected_class></record>
1696461289	0	<record><id>1696461289</id><protected_class>0</protected_class></record>
8814304944	1	<record><id>8814304944</id><protected_class>1</protected_class></record>
5374414946	0	<record><id>5374414946</id><protected_class>0</protected_class></record>
1831002201	0	<record><id>1831002201</id><protected_class>0</protected_class></record>
6725023462	0	<record><id>6725023462</id><protected_class>0</protected_class></record>
2435082909	0	<record><id>2435082909</id><protected_class>0</protected_class></record>
1284730613	0	<record><id>1284730613</id><protected_class>0</protected_class></record>
3793890092	0	<record><id>3793890092</id><protected_class>0</protected_class></record>
2212077978	0	<record><id>2212077978</id><protected_class>0</protected_class></record>
2554779811	0	<record><id>2554779811</id><protected_class>0</protected_class></record>
3634557176	0	<record><id>3634557176</id><protected_class>0</protected_class></record>
1049185215	0	<record><id>1049185215</id><protected_class>0</protected_class></record>
5287995737	0	<record><id>5287995737</id><protected_class>0</protected_class></record>
4543945255	0	<record><id>4543945255</id><protected_class>0</protected_class></record>
6398365342	0	<record><id>6398365342</id><protected_class>0</protected_class></record>
7164233677	0	<record><id>7164233677</id><protected_class>0</protected_class></record>
6620564274	0	<record><id>6620564274</id><protected_class>0</protected_class></record>
5079840768	0	<record><id>5079840768</id><protected_class>0</protected_class></record>
7891922205	0	<record><id>7891922205</id><protected_class>0</protected_class></record>
6527981218	0	<record><id>6527981218</id><protected_class>0</protected_class></record>
6845714258	1	<record><id>6845714258</id><protected_class>1</protected_class></record>
9188552705	0	<record><id>9188552705</id><protected_class>0</protected_class></record>
8895343852	0	<record><id>8895343852</id><protected_class>0</protected_class></record>
8680345515	0	<record><id>8680345515</id><protected_class>0</protected_class></record>
1864630528	1	<record><id>1864630528</id><protected_class>1</protected_class></record>
2633021823	0	<record><id>2633021823</id><protected_class>0</protected_class></record>
3276617738	0	<record><id>3276617738</id><protected_class>0</protected_class></record>
1503446411	0	<record><id>1503446411</id><protected_class>0</protected_class></record>
5952132363	1	<record><id>5952132363</id><protected_class>1</protected_class></record>
6363289282	0	<record><id>6363289282</id><protected_class>0</protected_class></record>
5575771869	0	<record><id>5575771869</id><protected_class>0</protected_class></record>
6376888384	1	<record><id>6376888384</id><protected_class>1</protected_class></record>
2559470752	0	<record><id>2559470752</id><protected_class>0</protected_class></record>
9922827212	1	<record><id>9922827212</id><protected_class>1</protected_class></record>
2664080382	0	<record><id>2664080382</id><protected_class>0</protected_class></record>
9827326806	0	<record><id>9827326806</id><protected_class>0</protected_class></record>
7447155744	0	<record><id>7447155744</id><protected_class>0</protected_class></record>
8395871926	0	<record><id>8395871926</id><protected_class>0</protected_class></record>
3599949961	0	<record><id>3599949961</id><protected_class>0</protected_class></record>
6615636612	1	<record><id>6615636612</id><protected_class>1</protected_class></record>
7020375274	0	<record><id>7020375274</id><protected_class>0</protected_class></record>
2957126791	0	<record><id>2957126791</id><protected_class>0</protected_class></record>
6836954616	1	<record><id>6836954616</id><protected_class>1</protected_class></record>
8655903016	0	<record><id>8655903016</id><protected_class>0</protected_class></record>
3877112155	0	<record><id>3877112155</id><protected_class>0</protected_class></record>
5779902824	1	<record><id>5779902824</id><protected_class>1</protected_class></record>
9854662134	1	<record><id>9854662134</id><protected_class>1</protected_class></record>
9003735907	0	<record><id>9003735907</id><protected_class>0</protected_class></record>
7062722203	0	<record><id>7062722203</id><protected_class>0</protected_class></record>
9843952145	0	<record><id>9843952145</id><protected_class>0</protected_class></record>
8152559811	0	<record><id>8152559811</id><protected_class>0</protected_class></record>
7564407527	0	<record><id>7564407527</id><protected_class>0</protected_class></record>
5326257567	0	<record><id>5326257567</id><protected_class>0</protected_class></record>
7534026850	0	<record><id>7534026850</id><protected_class>0</protected_class></record>
2423862851	0	<record><id>2423862851</id><protected_class>0</protected_class></record>
4801612421	1	<record><id>4801612421</id><protected_class>1</protected_class></record>
6267414088	0	<record><id>6267414088</id><protected_class>0</protected_class></record>
3586615729	1	<record><id>3586615729</id><protected_class>1</protected_class></record>
4310214519	0	<record><id>4310214519</id><protected_class>0</protected_class></record>
3340452850	0	<record><id>3340452850</id><protected_class>0</protected_class></record>
3921679303	0	<record><id>3921679303</id><protected_class>0</protected_class></record>
6313215021	1	<record><id>6313215021</id><protected_class>1</protected_class></record>
9673763605	0	<record><id>9673763605</id><protected_class>0</protected_class></record>
4280006376	0	<record><id>4280006376</id><protected_class>0</protected_class></record>
9889522106	1	<record><id>9889522106</id><protected_class>1</protected_class></record>
7432301478	1	<record><id>7432301478</id><protected_class>1</protected_class></record>
2302774734	0	<record><id>2302774734</id><protected_class>0</protected_class></record>
7624126931	0	<record><id>7624126931</id><protected_class>0</protected_class></record>
2225082825	1	<record><id>2225082825</id><protected_class>1</protected_class></record>
4585398726	0	<record><id>4585398726</id><protected_class>0</protected_class></record>
6017132730	0	<record><id>6017132730</id><protected_class>0</protected_class></record>
2977457800	0	<record><id>2977457800</id><protected_class>0</protected_class></record>
5023553359	0	<record><id>5023553359</id><protected_class>0</protected_class></record>
7993496053	0	<record><id>7993496053</id><protected_class>0</protected_class></record>
8573908273	0	<record><id>8573908273</id><protected_class>0</protected_class></record>
7513300881	1	<record><id>7513300881</id><protected_class>1</protected_class></record>
4235923527	0	<record><id>4235923527</id><protected_class>0</protected_class></record>
3325797006	1	<record><id>3325797006</id><protected_class>1</protected_class></record>
1082504800	1	<record><id>1082504800</id><protected_class>1</protected_class></record>
1891817177	1	<record><id>1891817177</id><protected_class>1</protected_class></record>
6012299504	1	<record><id>6012299504</id><protected_class>1</protected_class></record>
3526850918	0	<record><id>3526850918</id><protected_class>0</protected_class></record>
2744209988	0	<record><id>2744209988</id><protected_class>0</protected_class></record>
9252473153	0	<record><id>9252473153</id><protected_class>0</protected_class></record>
8067565660	0	<record><id>8067565660</id><protected_class>0</protected_class></record>
9681791936	0	<record><id>9681791936</id><protected_class>0</protected_class></record>
6106547744	0	<record><id>6106547744</id><protected_class>0</protected_class></record>
4076225068	0	<record><id>4076225068</id><protected_class>0</protected_class></record>
4801502287	1	<record><id>4801502287</id><protected_class>1</protected_class></record>
6867653080	0	<record><id>6867653080</id><protected_class>0</protected_class></record>
7043915063	0	<record><id>7043915063</id><protected_class>0</protected_class></record>
9829696825	0	<record><id>9829696825</id><protected_class>0</protected_class></record>
8425570462	1	<record><id>8425570462</id><protected_class>1</protected_class></record>
3643011513	0	<record><id>3643011513</id><protected_class>0</protected_class></record>
2281233117	0	<record><id>2281233117</id><protected_class>0</protected_class></record>
9860156001	0	<record><id>9860156001</id><protected_class>0</protected_class></record>
3529211139	1	<record><id>3529211139</id><protected_class>1</protected_class></record>
7537181404	0	<record><id>7537181404</id><protected_class>0</protected_class></record>
8556210230	0	<record><id>8556210230</id><protected_class>0</protected_class></record>
4200691929	0	<record><id>4200691929</id><protected_class>0</protected_class></record>
4880421782	0	<record><id>4880421782</id><protected_class>0</protected_class></record>
4590616143	1	<record><id>4590616143</id><protected_class>1</protected_class></record>
7603955590	0	<record><id>7603955590</id><protected_class>0</protected_class></record>
8968773624	0	<record><id>8968773624</id><protected_class>0</protected_class></record>
7040331543	0	<record><id>7040331543</id><protected_class>0</protected_class></record>
6974115654	0	<record><id>6974115654</id><protected_class>0</protected_class></record>
2127096532	0	<record><id>2127096532</id><protected_class>0</protected_class></record>
8927522885	0	<record><id>8927522885</id><protected_class>0</protected_class></record>
7471045821	0	<record><id>7471045821</id><protected_class>0</protected_class></record>
2746874108	0	<record><id>2746874108</id><protected_class>0</protected_class></record>
7858014413	1	<record><id>7858014413</id><protected_class>1</protected_class></record>
9061757062	0	<record><id>9061757062</id><protected_class>0</protected_class></record>
4723041681	0	<record><id>4723041681</id><protected_class>0</protected_class></record>
3659991999	1	<record><id>3659991999</id><protected_class>1</protected_class></record>
6531068363	0	<record><id>6531068363</id><protected_class>0</protected_class></record>
3345052245	1	<record><id>3345052245</id><protected_class>1</protected_class></record>
9305928055	0	<record><id>9305928055</id><protected_class>0</protected_class></record>
4718618580	0	<record><id>4718618580</id><protected_class>0</protected_class></record>
5255928863	0	<record><id>5255928863</id><protected_class>0</protected_class></record>
4275144513	0	<record><id>4275144513</id><protected_class>0</protected_class></record>
8614327079	0	<record><id>8614327079</id><protected_class>0</protected_class></record>
9870220765	0	<record><id>9870220765</id><protected_class>0</protected_class></record>
9779005266	0	<record><id>9779005266</id><protected_class>0</protected_class></record>
7749537298	0	<record><id>7749537298</id><protected_class>0</protected_class></record>
6053026320	0	<record><id>6053026320</id><protected_class>0</protected_class></record>
2605373356	1	<record><id>2605373356</id><protected_class>1</protected_class></record>
9392763467	0	<record><id>9392763467</id><protected_class>0</protected_class></record>
5549197997	0	<record><id>5549197997</id><protected_class>0</protected_class></record>
3237943707	0	<record><id>3237943707</id><protected_class>0</protected_class></record>
1627041907	1	<record><id>1627041907</id><protected_class>1</protected_class></record>
3400920072	0	<record><id>3400920072</id><protected_class>0</protected_class></record>
9580748869	0	<record><id>9580748869</id><protected_class>0</protected_class></record>
5701243146	0	<record><id>5701243146</id><protected_class>0</protected_class></record>
1609711985	0	<record><id>1609711985</id><protected_class>0</protected_class></record>
5169317146	1	<record><id>5169317146</id><protected_class>1</protected_class></record>
5047804126	0	<record><id>5047804126</id><protected_class>0</protected_class></record>
2492452056	0	<record><id>2492452056</id><protected_class>0</protected_class></record>
8826486395	0	<record><id>8826486395</id><protected_class>0</protected_class></record>
8443073583	0	<record><id>8443073583</id><protected_class>0</protected_class></record>
7556737458	0	<record><id>7556737458</id><protected_class>0</protected_class></record>
5842595833	1	<record><id>5842595833</id><protected_class>1</protected_class></record>
1830190862	0	<record><id>1830190862</id><protected_class>0</protected_class></record>
4385771509	0	<record><id>4385771509</id><protected_class>0</protected_class></record>
2142147613	0	<record><id>2142147613</id><protected_class>0</protected_class></record>
9320587335	0	<record><id>9320587335</id><protected_class>0</protected_class></record>
2179426998	0	<record><id>2179426998</id><protected_class>0</protected_class></record>
6563449405	1	<record><id>6563449405</id><protected_class>1</protected_class></record>
1312515917	0	<record><id>1312515917</id><protected_class>0</protected_class></record>
8749026318	0	<record><id>8749026318</id><protected_class>0</protected_class></record>
9161182248	0	<record><id>9161182248</id><protected_class>0</protected_class></record>
2530223577	0	<record><id>2530223577</id><protected_class>0</protected_class></record>
7885279950	0	<record><id>7885279950</id><protected_class>0</protected_class></record>
3335943709	0	<record><id>3335943709</id><protected_class>0</protected_class></record>
2891209828	0	<record><id>2891209828</id><protected_class>0</protected_class></record>
7729710694	0	<record><id>7729710694</id><protected_class>0</protected_class></record>
5741958630	0	<record><id>5741958630</id><protected_class>0</protected_class></record>
5020153621	1	<record><id>5020153621</id><protected_class>1</protected_class></record>
7260929908	0	<record><id>7260929908</id><protected_class>0</protected_class></record>
6681950616	0	<record><id>6681950616</id><protected_class>0</protected_class></record>
5708829451	0	<record><id>5708829451</id><protected_class>0</protected_class></record>
5442542149	0	<record><id>5442542149</id><protected_class>0</protected_class></record>
3617046380	1	<record><id>3617046380</id><protected_class>1</protected_class></record>
8806972242	0	<record><id>8806972242</id><protected_class>0</protected_class></record>
2223399669	1	<record><id>2223399669</id><protected_class>1</protected_class></record>
3795581550	0	<record><id>3795581550</id><protected_class>0</protected_class></record>
9952253675	0	<record><id>9952253675</id><protected_class>0</protected_class></record>
2813271190	0	<record><id>2813271190</id><protected_class>0</protected_class></record>
1687728555	1	<record><id>1687728555</id><protected_class>1</protected_class></record>
4859947592	0	<record><id>4859947592</id><protected_class>0</protected_class></record>
9673677140	0	<record><id>9673677140</id><protected_class>0</protected_class></record>
4055012455	0	<record><id>4055012455</id><protected_class>0</protected_class></record>
9297358843	0	<record><id>9297358843</id><protected_class>0</protected_class></record>
9703915656	0	<record><id>9703915656</id><protected_class>0</protected_class></record>
3740999699	0	<record><id>3740999699</id><protected_class>0</protected_class></record>
2528658395	0	<record><id>2528658395</id><protected_class>0</protected_class></record>
6961624014	0	<record><id>6961624014</id><protected_class>0</protected_class></record>
